,Media_Source,Date,Tweets_ago,Tweet_Text,Compound,Positive,Negative,Neutral
0,@BBC,2018-07-09 20:02:05+00:00,0,"The greatest ice skater of all time, John Curry transformed a dated sport into an art form and made history by beco… https://t.co/rKqQzp8Gv5",0.6369,0.167,0.0,0.833
1,@BBC,2018-07-09 19:02:06+00:00,-1,"“I want to tell you honey you are the hero in my heart”

Saman Gunan's wife and father tell @BBCWorld about the man… https://t.co/axL8XkMgc0",0.5994,0.182,0.0,0.818
2,@BBC,2018-07-09 18:02:03+00:00,-2,"That time David Attenborough made friends with a baby rhino. 😭❤️️🦏 #Africa 

https://t.co/Z5F0jaNk57",0.4767,0.22,0.0,0.78
3,@BBC,2018-07-09 17:32:03+00:00,-3,"A 'dogumentary' like no other, discover the world of the Mucky Pups luxury dog spa. 💅🐩

Puppy Love | 7:30pm |… https://t.co/EJYSH7Ckpm",0.6705,0.259,0.085,0.656
4,@BBC,2018-07-09 16:04:04+00:00,-4,"Although they're great fun, they're not always great for the environment... 

Here's how to go to a festival withou… https://t.co/tvnMfnCrlL",0.9403,0.495,0.0,0.505
5,@BBC,2018-07-09 15:51:05+00:00,-5,"RT @BBCBreaking: Prince Louis arrives for his christening service at the Chapel Royal, St James's Palace

https://t.co/TGe9Ld5mpM https://t…",0.0,0.0,0.0,1.0
6,@BBC,2018-07-09 15:20:14+00:00,-6,"RT @BBCRadio2: Happy International Town Criers' Day! Watch @chestercrier teach @ed_miliband how to do the perfect ""oyez""  🗣 https://t.co/Ha…",0.8268,0.325,0.0,0.675
7,@BBC,2018-07-09 14:29:05+00:00,-7,"""Can I drum?” 🥁🤷‍♂️

This is the amazing moment when @thekillers let a fan join them on stage at @TRNSMTfest! 🙌… https://t.co/6DnHpaJxer",0.8221,0.336,0.0,0.664
8,@BBC,2018-07-09 14:23:06+00:00,-8,"RT @BBCBreaking: Boris Johnson resigns as UK Foreign Secretary, following the resignation of Brexit Secretary David Davis https://t.co/gFKn…",-0.5423,0.0,0.22,0.78
9,@BBC,2018-07-09 14:17:04+00:00,-9,"Divers have rescued four more boys from the vast flooded cave system in northern Thailand.

Follow live updates her… https://t.co/cuWPaHhVTW",0.4215,0.128,0.0,0.872
10,@BBC,2018-07-09 13:03:05+00:00,-10,"Searching for the 'angel' who held me during the Westminster attack. 

https://t.co/Hgb96AhD1J https://t.co/SPXbsc6t1A",-0.4767,0.0,0.205,0.795
11,@BBC,2018-07-09 12:18:40+00:00,-11,"RT @bbctennis: The number of Grand Slam singles titles won by today's Centre Court players.

🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆…",0.6597,0.354,0.115,0.531
12,@BBC,2018-07-09 12:01:04+00:00,-12,"'I spread happiness': meet Irene, a yoga teacher who teaches in prisons. 🧘

https://t.co/LkBRZK5BJe",0.0,0.0,0.0,1.0
13,@BBC,2018-07-09 11:03:02+00:00,-13,"What's wrong with the way we decorated?! 😂🛀👷

Couple find a 23-year-old hidden message while refurbishing their bat… https://t.co/gfFrVjlZee",-0.5255,0.0,0.166,0.834
14,@BBC,2018-07-09 10:03:09+00:00,-14,Prince Louis will be christened later in a private ceremony in the Chapel Royal at St James's Palace. 👶… https://t.co/NOvYzzMN0F,0.0,0.0,0.0,1.0
15,@BBC,2018-07-09 08:51:27+00:00,-15,RT @BBCWorld: Cave divers in Thailand are poised to restart the high-risk operation to extract the remaining eight boys and their football…,0.25,0.087,0.0,0.913
16,@BBC,2018-07-09 08:51:21+00:00,-16,RT @BBCWorld: Japan floods: At least 100 dead in record rainfall https://t.co/SyQmfJ7R2J,-0.6486,0.0,0.281,0.719
17,@BBC,2018-07-09 08:51:17+00:00,-17,"RT @bbcgetinspired: Way back when @England winning the #WorldCup was just a pipe dream, we caught up with Gareth Southgate to find out his…",0.6597,0.205,0.0,0.795
18,@BBC,2018-07-09 08:51:06+00:00,-18,"RT @BBCArchive: #OnThisDay 2001: The Office was first broadcast, on @BBCTwo. https://t.co/TgfV8bNhy4",0.0,0.0,0.0,1.0
19,@BBC,2018-07-09 08:03:05+00:00,-19,"What's it like living with OCD? These people share their experience. 
#TrustMeImADoctor https://t.co/Ed41awcqEM",0.5719,0.299,0.0,0.701
20,@BBC,2018-07-09 07:27:05+00:00,-20,"'I didn’t leave the house for three months because of my anxiety.'
👉 https://t.co/8q5C6bvqI7 https://t.co/qlAwtudj5E",-0.0516,0.0,0.085,0.915
21,@BBC,2018-07-09 07:00:09+00:00,-21,⚡ This Korean entrepreneur has an idea that could revolutionise how power is generated. https://t.co/csjLDoyZoN,0.0,0.0,0.0,1.0
22,@BBC,2018-07-08 21:07:05+00:00,-22,"Justin Bieber 'engaged to Hailey Baldwin', US media say. 👉 https://t.co/j8cKfq8AtD https://t.co/HkqnZAQJi4",0.4019,0.213,0.0,0.787
23,@BBC,2018-07-08 20:52:12+00:00,-23,"RT @BBCBreaking: UK police launch murder inquiry after Dawn Sturgess, 44, dies after exposure to nerve agent Novichok https://t.co/adk3o7Sj…",-0.6908,0.0,0.207,0.793
24,@BBC,2018-07-08 20:05:00+00:00,-24,"✊🛍🛒 This family have changed their shopping habits to reduce their plastic footprint.
#PlasticsAction https://t.co/RL3U1Vk7EN",0.0,0.0,0.0,1.0
25,@BBC,2018-07-08 19:04:02+00:00,-25,❤️ This man is cleaning all 388 Holocaust plaques in his city. https://t.co/AfdxFBxxJ4,0.0,0.0,0.0,1.0
26,@BBC,2018-07-08 18:04:02+00:00,-26,'Did air pollution kill my daughter?' https://t.co/XzWSWFga6S,-0.6908,0.0,0.439,0.561
27,@BBC,2018-07-08 17:32:05+00:00,-27,"The operation to free 12 boys and their coach from a cave in northern Thailand is running ""smoothly"", the head of t… https://t.co/fbCN1JeN1K",0.5106,0.136,0.0,0.864
28,@BBC,2018-07-08 17:02:03+00:00,-28,"🎶🎻✨ Tonight, @thekatiederham introduces 2018's open-air concert from the magnificent gardens of the Schonbrunn Pala… https://t.co/AHAYPRtAJn",0.5994,0.206,0.0,0.794
29,@BBC,2018-07-08 16:03:04+00:00,-29,"Look back at the 2008 #Wimbledon final between @rogerfederer and @RafaelNadal, widely acknowledged as one of the gr… https://t.co/bNcdnjna2s",0.0,0.0,0.0,1.0
30,@BBC,2018-07-08 15:02:07+00:00,-30,"⚡️ This 15-year-old inventor is bringing cheap electricity to the developing world. 
(via @BBCThree) https://t.co/UWVzHhRs12",0.0,0.0,0.0,1.0
31,@BBC,2018-07-08 14:59:01+00:00,-31,"RT @BBCWorld: Nine boys and their coach will spend another night trapped in Thai cave, as rescue operation is paused for at least 10 hours…",-0.0258,0.111,0.114,0.774
32,@BBC,2018-07-08 14:02:01+00:00,-32,"🍄 Increasingly, scientists are looking at whether some mind-altering drugs might also have the potential to be mind… https://t.co/srd1w793nY",0.0,0.0,0.0,1.0
33,@BBC,2018-07-08 13:08:43+00:00,-33,RT @BBCNews: First boys 'rescued from Thailand cave' https://t.co/86U00UcvHn,0.4215,0.259,0.0,0.741
34,@BBC,2018-07-08 13:03:02+00:00,-34,The remarkable Viking discovery on the Isle of Skye. https://t.co/QV4CIcIO9L,0.5574,0.286,0.0,0.714
35,@BBC,2018-07-08 12:06:07+00:00,-35,"""Y'alright love?""

😂 This crow has a Yorkshire accent and it's amazing. https://t.co/3J8BQGiZM7",0.5859,0.275,0.0,0.725
36,@BBC,2018-07-08 11:03:07+00:00,-36,"Whether your whole household is vegetarian or you're just trying to cut down on your meat intake, everyone will lov… https://t.co/mvwy1TIacc",-0.2732,0.0,0.095,0.905
37,@BBC,2018-07-08 10:02:04+00:00,-37,These little eels have travelled all the way from near the Bahamas to Scotland. https://t.co/P1oXYtSXD1,0.0,0.0,0.0,1.0
38,@BBC,2018-07-08 09:03:05+00:00,-38,"😳🏝 Still haunted by the image of Pierce Brosnan dancing in flippers? Well, he’s back. 

🎥🍿 These are the nine films… https://t.co/Xw6O9UYha4",-0.25,0.083,0.123,0.794
39,@BBC,2018-07-08 08:12:23+00:00,-39,"RT @bbc5live: Just in case you missed this last night on @bbc5live 

28 years on from Italia 90, @chriswaddle93 gets emotional as England m…",-0.1531,0.062,0.085,0.853
40,@BBC,2018-07-08 08:12:10+00:00,-40,"RT @BBCWorld: Hang on boys, rescue is coming. 🐗🇹🇭

The mission to rescue 12 boys and football coach from a cave in Thailand has begun - and…",0.765,0.223,0.0,0.777
41,@BBC,2018-07-08 08:12:00+00:00,-41,"RT @BBCFood: 7 recipes for all the gluten-free people deciding what to have to breakfast 🤷‍♀
https://t.co/vP56pf2KB1 https://t.co/zwNCvt0kKr",0.0,0.0,0.0,1.0
42,@BBC,2018-07-08 08:11:54+00:00,-42,RT @BBCBreakfast: Everyone needs this delicious dose of doggy cuteness 😍😍 https://t.co/Bq4AebzsRy,0.826,0.434,0.0,0.566
43,@BBC,2018-07-08 08:11:03+00:00,-43,RT @BBCNewsNI: Motorcycle racer William Dunlop killed in a crash at the Skerries 100 road races https://t.co/6m5CFDY1Jp https://t.co/53B15j…,-0.802,0.0,0.324,0.676
